banking;bike_stands;bonus;contract_name;country;name;number;lat;lng
True;25;False;Bruxelles-Capitale;Belgium;102 - MUSEUM/MUSEUM;102;50.83579;4.375782
False;22;False;Bruxelles-Capitale;Belgium;326 - ADEPS;326;50.809406;4.443777
True;24;False;Bruxelles-Capitale;Belgium;017 - COMTE DE FLANDRE/GRAAF VAN VLAANDEREN;17;50.855358;4.339465
True;20;False;Goteborg;Sweden;BRUNNSGATAN;32;57.693517;11.958559
True;22;False;Lyon;France;7056 - PLACE RASPAIL (FAR);7056;45.755783;4.840745
False;15;False;Namur;Belgium;015 - PONT DE JAMBES;15;50.457858;4.86697
True;20;False;Paris;France;13037 - IVRY BAUDICOURT;13037;48.824695995415006;2.363106073577468
True;22;False;Paris;France;21104 - SANZILLON (CLICHY);21104;48.903676702256305;2.319176657580128
True;31;False;Paris;France;21303 - ILES (ISSY LES MOULINEAUX);21303;48.8234505470138;2.249665298288027
True;69;False;Paris;France;16025 - FONTAINE RAYNOUARD;16025;48.852786944099584;2.275580584185594
True;20;False;Paris;France;18037 - AMIRAUX;18037;48.89454171584971;2.352295466779576
True;24;False;Paris;France;42013 - BARBES (IVRY);42013;48.81591109646686;2.368229729243504
True;25;False;Paris;France;23008 - REPUBLIQUE (LEVALLOIS);23008;48.89319467536488;2.288914160056623
True;24;False;Paris;France;14124 - PORTE D'ARCUEIL;14124;48.821111770492195;2.333785290429607
True;45;False;Paris;France;14026 - PLANTES MOULIN VERT;14026;48.83014719579205;2.323313445980224
True;52;False;Paris;France;16037 - MOLITOR - MICHEL ANGE;16037;48.845182081538034;2.26211277356597
True;20;False;Seville;Spain;009_CAMINO DE LOS DESCUBRIMIENTOS;9;37.40332453110276;-6.004020258912579
True;20;False;Seville;Spain;149_CALLE ARROYO;149;37.397829929383;-5.97567172039552
True;20;False;Toulouse;France;00248 - BOUQUETINS/E. ROSTAND;248;43.64108958806659;1.449039275575635
False;20;False;Brisbane;Australia;117 - VULTURE ST / TRIBUNE ST;117;-27.482197;153.020894
False;21;False;Brisbane;Australia;50 - GIPPS ST / WICKHAM ST;50;-27.458641;153.03208
True;17;False;Bruxelles-Capitale;Belgium;336 - KRAAINEM;336;50.848578;4.459038
True;25;False;Bruxelles-Capitale;Belgium;163 - CHAZAL/CHAZAL;163;50.859112;4.39157
False;30;False;Dublin;IRELAND;DEVERELL PLACE;45;53.351464;-6.255265
True;35;False;Dublin;IRELAND;STRAND STREET GREAT;46;53.347082;-6.264192
True;20;True;Lillestrom;Norway;STORTORGET;4;59.95797;11.05029
True;10;False;Marseille;France;1230-ROOSEVELT - REFORMES;1230;43.29908095432929;5.38661231791721
True;36;False;Paris;France;17028 - PORTE DE COURCELLE;17028;48.88880002064895;2.296319931841717
True;28;False;Paris;France;21203 - BRIAND (MONTROUGE);21203;48.81251090819872;2.325680623044519
True;33;False;Paris;France;01005 - LES HALLES - SEBASTOPOL;1005;48.86126206976475;2.349399999750171
True;28;False;Paris;France;20048 - BAGNOLET;20048;48.8597776444599;2.40344426132457
True;23;False;Paris;France;20118 - ORTEAUX MOURAUD;20118;48.85558642847872;2.408762907764669
True;21;False;Toulouse;France;00106 - BRIENNE PASSERELLE;106;43.60842211156853;1.42386687477895
False;25;False;Valence;Spain;028_NAVARRO REVERTE;28;39.47155010170615;-0.367842074631205
False;15;False;Valence;Spain;56_AVDA. DE FRANCIA;56;39.45838906488428;-0.344495997567289
False;24;False;Valence;Spain;153_C/ LLANO DE ZAIDA;153;39.48313013675752;-0.380263118087985
False;26;False;Brisbane;Australia;138 - ROY ST / LANG PDE;138;-27.473888;153.000599
True;25;False;Bruxelles-Capitale;Belgium;252 - BEMPT;252;50.802563;4.315701
True;25;False;Bruxelles-Capitale;Belgium;171 - PISCINE LOUIS NAMECHE ZWEMBAD;171;50.854789;4.312201
True;20;True;Bruxelles-Capitale;Belgium;354 - TRIOMPHE / TRIOMF;354;50.821557;4.402288
False;22;False;Cergy-Pontoise;France;54905 - VAU05 - LES TOUPETS;54905;49.0231625956251;2.02948629121322
True;30;False;Dublin;IRELAND;CUSTOM HOUSE;23;53.348279;-6.254662
False;40;False;Dublin;IRELAND;WESTERN WAY;102;53.354929;-6.269425
False;40;False;Dublin;IRELAND;YORK STREET WEST;51;53.339334;-6.264699
True;40;False;Dublin;IRELAND;SANDWITH STREET;64;53.345203;-6.247163
True;20;True;Lyon;France;1023 - CROIX ROUSSE / PERFETTI;1023;45.772229;4.819389
True;18;False;Lyon;France;10110 - MÉMOIRE ET SOCIÉTÉ;10110;45.75958;4.882739
True;14;False;Lyon;France;8011 - PLACE LEBRET;8011;45.735653;4.853042
True;17;False;Lyon;France;3015 - SERVIENT / GARIBALDI;3015;45.760779;4.85276
False;11;False;Mulhouse;France;16 - PLACE FRANKLIN;16;47.7510835523038;7.3335583445457
True;22;False;Nancy;France;00012 - ST SEBASTIEN - ST THIEBAUT (CB);12;48.6886141256403;6.17950010441818
True;17;True;Paris;France;18005 - TARDIEU;18005;48.88416326647457;2.341879802310627
True;19;False;Paris;France;41603 - PASTEUR (SAINT MANDE);41603;48.845779219164555;2.42377059524055
True;36;True;Paris;France;20021 - PRAIRIE L INDRE;20021;48.86272646274573;2.403351311000777
True;39;False;Paris;France;16007 - LONGCHAMP;16007;48.864910448589;2.292519101004145
True;33;True;Paris;France;14030 - LOSSERAND - PERNETY;14030;48.83425462795304;2.317609339386963
True;21;False;Paris;France;42002 - GARE (IVRY);42002;48.81492646724632;2.392001635824925
True;25;False;Santander;Spain;011_PUERTO CHICO;11;43.4621430815773;-3.79724144946775
True;20;False;Seville;Spain;111_PZA FARMACÉUTICO MURILLO HERRERA;111;37.3813174443225;-6.001053235842167
True;18;True;Toulouse;France;00135 - BONNEFOY   LEMAITRE;135;43.62316326019301;1.458585739964361
False;20;False;Valence;Spain;030_CIRILO AMOROS;30;39.468569091411034;-0.368590075268948
True;20;False;Valence;Spain;51_PSO. DE LAS MORERAS;51;39.45215104293519;-0.347318002649104
False;21;False;Brisbane;Australia;71 - HASTINGS ST / MACQUARIE ST;71;-27.460914;153.04987
False;22;False;Brisbane;Australia;6 - ALICE STREET / EDWARD STREET;6;-27.472291;153.030639
False;30;False;Dublin;IRELAND;MOUNTJOY SQUARE WEST;28;53.356299;-6.258586
True;16;False;Lyon;France;7009 - JEAN JAURÈS;7009;45.737503;4.837484
True;20;False;Lyon;France;3071 - BIOPARC;3071;45.740492;4.888084
True;16;False;Lyon;France;3032 - LAFAYETTE / CRÉQUI;3032;45.76341;4.847132
True;20;False;Lyon;France;10071 - LYCÉE MARIE CURIE;10071;45.761597;4.896386
True;15;False;Marseille;France;8261- 318 MAZARGUES;8261;43.260699609117914;5.393973899334583
False;15;False;Nancy;France;00026 - BAUDRICOURT HAUSSONVILLE;26;48.675248491826174;6.162844844269929
True;15;False;Nantes;France;00020-BELLAMY;20;47.222902006053054;-1.557229797031573
True;27;False;Paris;France;19115 - PORTE DE LA VILLETTE;19115;48.89849005307383;2.386120008210507
True;22;False;Paris;France;17037 - BAYEN PEREIRE;17037;48.881830717501;2.29214066582886
True;35;False;Paris;France;16020 - PORTE DE PASSY;16020;48.85738212799326;2.264277072081002
True;36;False;Paris;France;12127 - TREMBLAY - INSEP;12127;48.83397;2.45482
True;24;False;Paris;France;05035 - BUFFON AUSTERLITZ;5035;48.84315817822931;2.363748444641593
True;17;False;Toulouse;France;00093 - PRINTEMPS;93;43.614465544425535;1.44361404386217
True;20;False;Toulouse;France;00222 - CAMBOU / ROCHE;222;43.5628140764194;1.47517386253435
True;20;False;Valence;Spain;012_CALLE_MINYANA;12;39.47119409848577;-0.374099093197231
True;20;False;Valence;Spain;058_PLAZA DE ESPAÑA;58;39.46618607914484;-0.381677113224894
False;10;False;Besancon;France;05 - ISEMBART;5;47.24274259048728;6.025292335375532
False;22;False;Brisbane;Australia;29 - GEORGE STREET / ANN STREET;29;-27.469075;153.021808
False;25;False;Bruxelles-Capitale;Belgium;025 - PORTE D'ANDERLECHT/ANDERLECHTSEPOORT(FERMÉE);25;50.844453;4.338591
True;17;False;Cergy-Pontoise;France;50008 - CER08 - AXE MAJEUR (CB);50008;49.044092;2.036546
True;12;False;Lyon;France;9040 - PLACE RHODIACETA;9040;45.770991;4.807578
True;18;False;Lyon;France;1020 - TERREAUX / CHENAVARD;1020;45.766763;4.832942
True;10;False;Marseille;France;8246-PARADIS - LORD DUVEEN;8246;43.275618147775035;5.384455147739253
True;23;False;Paris;France;08103 - D'ARTOIS BERRY;8103;48.873794318379595;2.306299550271081
True;41;True;Paris;France;41201 - DE RICARD (FONTENAY SOUS BOIS);41201;48.84630286069407;2.472408774870391
True;33;False;Paris;France;18102 - RUE DE LA CHAPELLE;18102;48.89648283189724;2.358845525233447
True;58;False;Paris;France;11102 - RUE DES BOULETS ( COMPLEMENTAIRE );11102;48.85288867036487;2.389147640809553
True;18;False;Seville;Spain;028_CALLE RAFAEL SALGADO;28;37.360261369216595;-5.976659138066708
True;18;False;Toulouse;France;00037 - STE LUCIE;37;43.593506929037055;1.429880706043356
True;22;False;Toulouse;France;00024 - PLACE SAINT ETIENNE;24;43.600398667412286;1.450179100392055
False;45;False;Toyama;JAPAN;富山大学前 TOYAMA UNIVERSITY MAE;18;36.698655;137.191297
True;20;False;Valence;Spain;223_CALLE_VALLE_BALLESTERA_ESQ_PLAZA_POLICIA_LOCAL;223;39.47852611446744;-0.40127817864509
