country;contract_name;name;company;count
Australia;Brisbane;54 - MCLACHLAN ST / WINN ST;CityCycle;2827
Australia;Brisbane;106 - ORLEIGH ST / HOOGLEY ST;CityCycle;2827
Belgium;Bruxelles-Capitale;148 - GARE MEISER/MEISER STATION;villo;2826
Belgium;Bruxelles-Capitale;311 - DELTA;villo;2826
Belgium;Bruxelles-Capitale;284 - CLAESSENS;villo;2826
Belgium;Bruxelles-Capitale;016 - LOUISE / LOUIZA;villo;2826
France;Cergy-Pontoise;53002 - PON02 - PLACE DE LA LIBÉRATION;Velo2;2825
France;Creteil;01 - LATTRE DE TASSIGNY;Cristolib;2823
Norway;Lillestrom;THON HOTEL ARENA;Bysykkel;2823
France;Lyon;8007 - FRÈRES LUMIÈRE;Vélo'V;2823
France;Lyon;1002 - OPÉRA (FAR);Vélo'V;2823
France;Paris;05002 - SAINT JACQUES;Velib;2820
France;Paris;11043 - CIRQUE D HIVER;Velib;2820
France;Paris;17025 - COURCELLES;Velib;2820
France;Paris;04007 - BOURDON;Velib;2820
France;Paris;08009 - SAINT LAZARE RER;Velib;2820
France;Paris;31001 - LAGNY (MONTREUIL);Velib;2820
Spain;Seville;115_CALLE LOPEZ DE GOMARA;SEVICI;2818
Spain;Seville;225_CALLE FLOR DE RETAMA;SEVICI;2818
France;Toulouse;00208 - LIMAYRAC/ DARASSE;Vélô;2818
France;Toulouse;00073 - FITTE TEINTURIERS;Vélô;2818
Australia;Brisbane;39 - TURBOT ST / WICKHAM TCE;CityCycle;2827
Australia;Brisbane;59 - JAMES ST / MCLACHLAN ST;CityCycle;2827
Australia;Brisbane;70 - MACQUARIE ST / BEESTON ST;CityCycle;2827
Belgium;Bruxelles-Capitale;286 - BENS;villo;2826
Belgium;Bruxelles-Capitale;075 - GENERAL BARON/GENERAAL BARON;villo;2826
Belgium;Bruxelles-Capitale;177 - CHASSEURS ARDENNAIS/ARDENSE JAGERS;villo;2819
Belgium;Bruxelles-Capitale;054 - TOUR ET TAXIS/THURN&TAXIS;villo;2826
France;Lyon;6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD;Vélo'V;2823
