country;contract_name;name;company;bonus;banking;status;bike_stands;count
Belgium;Bruxelles-Capitale;290 - GARE DE CALEVOET / KALEVOET STATION;villo;False;True;OPEN;25;2826
France;Cergy-Pontoise;50022 - CER22 - GARE CERGY GRAND CENTRE (CB);Velo2;False;True;OPEN;27;2825
IRELAND;Dublin;SMITHFIELD NORTH;dublinbikes;False;True;OPEN;30;2823
IRELAND;Dublin;SMITHFIELD;dublinbikes;False;False;OPEN;30;2823
Luxembourg;Luxembourg;FRIEDEN;Veloh;False;True;OPEN;20;2823
France;Lyon;8040 - AMBROISE PARÉ;Vélo'V;False;True;OPEN;24;2823
France;Lyon;3079 - PLACE LOUISE;Vélo'V;False;True;OPEN;16;2823
France;Paris;09022 - LAFITTE ROSSINI;Velib;False;True;OPEN;33;2820
France;Paris;15113 - FALGUIERE ARSONVAL;Velib;False;True;OPEN;25;2820
France;Paris;18114 - LEPIC VERON;Velib;True;True;OPEN;21;2820
France;Paris;18103 - CHARLES HERMITE;Velib;False;True;CLOSED;23;2307
France;Paris;09018 - PLACE PIGALLE;Velib;True;True;OPEN;34;2820
France;Paris;14024 - RAYMOND LOSSERAND;Velib;False;True;OPEN;24;2820
France;Paris;21311 - GAMBETTA (ISSY LES MOULINEAUX);Velib;False;True;OPEN;55;2820
Spain;Seville;179_RONDA URBANA NORTE;SEVICI;False;True;OPEN;20;2818
Spain;Seville;180_CALLE DOCTOR JAIME MARCOS;SEVICI;False;True;OPEN;20;2818
Spain;Valence;248_AVDA_TRES_CRUCES_JOSE_MARIA_MORTES_LERMA;Valenbisi;False;False;OPEN;20;2817
France;Paris;06009 - GUYNEMER LUXEMBOURG;Velib;False;True;OPEN;35;914
JAPAN;Toyama;県庁前公園　KENCHOMAE PARK;cyclocity;False;False;CLOSED;17;1
Luxembourg;Luxembourg;ROBERT SCHUMAN;Veloh;False;True;OPEN;25;2823
France;Marseille;4238-LIBERATION-CHAPE-ESPERANDIEU;Le vélo;False;True;OPEN;12;2823
France;Marseille;8144-ESCALE BORELY POINTE ROUGE;Le vélo;False;True;OPEN;10;2823
France;Paris;02101 - BACHAUMONT;Velib;False;True;OPEN;33;2819
France;Paris;14034 - RUE DE L OUEST CHATEAU;Velib;True;True;OPEN;24;2820
